Business Name,Owner Name,Phone,Email,Address
Infinite Legacy,Mary Delaney Fox,(703) 641-0100,mfox@infinitelegacy.org,"3190 Fairview Park Drive Suite 700, Falls Church, VA 22042"
INOVA Health Systems,Josh Dudzik,571-562-0804,Shaylin.Ward@inova.org,"8901 Innovation Park Drive , Fairfax, VA "
Insperity,Curtis Dent,703-821-7328,curtis.dent@insperity.com,"7950 Jones Branch Drive Suite 600, McLean, VA 22102"
iTech AG LLC,Vladimir Jadrijevic,571-888-2986,vladimir.jadrijevic@itechag.com,"1220 N. Filmore St Suite 400, Arlington, VA 22201"
The Joint Chiropractic - Landmark,Dr. Justin Velez-Hagan,703-662-5502,justin.velezhagan@thejoint.com,"6244-E Little River Turnpike , Alexandria, VA 22312"
JP Morgan Chase,Alfonso Guzman,202.263.1362,alfonso.e.guzman@jpmorgan.com,"875 15th St NW 5th Floor, Washington, DC 20005"
"Klein Engineering, PSC",Francisco Klein,(703) 7381414,francisco.klein@klein-engineering.com,"9926 Main Street Suite 200, Fairfax, VA 22031"
The Law Offices of Paul A. Samakow,Paul Samakow,703-761-4343,paul@samakowlaw.com,"8230 OLD COURTHOUSE RD STE 430, Vienna, VA 22182"
Loudoun County Chamber of Commerce,Tony Howard,703-777-2176,thoward@loudounchamber.org,"P.O. Box 1298 , Leesburg, VA 20177"
"McBoyz, LLC",Daniel McGuire,(703) 926-5223,danjmcguire@outlook.com,"10614 Springmann Drive , Fairfax, VA 22030"
"Medico Family Clinic, Inc",Jamal Zia,5712297559,drjuzia@gmail.com,"6231 Leesburg Pike Suite 200, Falls Church , VA 22044"
"Moya Design Partners, LLC",Yenny Paola Moya,202.816.6692,omayra@moyadesignpartners.com,"555  12TH STREET NW, Ste 620 , WASHINGTON, DC 20004"
New York Life Corporate - Latino Market,Laura Languidey Farinas,301-214-6685,lilangui@newyorklife.com,"6901 Rockledge Drive Suite 500, Bethesda, MD 20817"
Northern Virginia Chamber of Commerce,Julie Coons,(703)749-0400,jcoons@novachamber.org,"7900 Westpark Drive Suite A550, Tysons, VA 22102"
"Offit Kurman, P.A.",Accounts Payables,(240) 507-1736,Daniel.Trujillo@offitkurman.com,"8000 Towers Crescent Dr , Vienna, VA 22182"
Plus Communications,Eric Sutton,301.943.9923,esutton@pluspr.com,"3001 Washington Blvd 7th floor, Arlington, VA 22201"
R. M. O'Hanlan Consulting,Michael O'Hanlan,703-389-0098,michael@rmohc.com,"2822 Bisvey Drive , Falls Church, VA 22042"
Rappahannock Rapidan Community Services,Henry Eggleston,540-435-6618,,"15361 Bradford Road , Culpepper, VA 22701"
Rodas Home Improvements Inc.,Marcelo Rodas,703-798-3349,Info@RodasHomeImprovements.com,"8106 OVERTON CT , SPRINGFIELD, VA 22153"
Sandy Spring Bank,Rosemary Flores Troche,703-814-7200,rflorestroche@sandyspringbank.com,"1356 Chain Bridge Road , McLean, VA 20101"
Synectics for Management Decisions Inc,Jeff Spears,(703) 516-4186,obedd@smdi.com,"1101 Wilson blvd Suite 1500, Arlington, VA 22209"
Total Rebrand,Dara Iserson,7037550732,dara@totalrebrand.com,"2815 Saint Croix Drive , Vienna, VA 22182"
Transworld Business Advisors,Guillermo Birmingham,703-960-3645,gbirmingham@tworld.com,"3153 Grovehurst Place , Alexandria, VA 22310"
Truist Bank,JUAN ORTUNO REINTSCH,(703) 442-4013,JJ.OrtunoReintsch@truist.com,"8200 Greensboro Drive Suite 1000 , Mclean, VA 22102"
Up North Kutz llc,Jason Jordan,(201) 205-6211,upnorthkutz@gmail.com,"400 Pinnacle Drive , Stafford, Va 22554"
"Wealthing, LLC",George Socca,2023015601,gs@wealthing.io," , ,  "
"Wegmans Food Markets, Inc.",Chris Holland,(571) 423-0700,chris.holland@wegmans.com,"1835 Capital One Drive South , McLean, VA 22102"
WG Construction,David Yergin-Doniger,(703)335-5599,davidd@wgconstruction.com,"9251 Industrial Court , Manassas, VA 20109"
Wilco Group LLC,Janis Garcia Keating,202.907.5411,jgarcia@wilcogroupllc.com,"10 West Walnut Street , Alexandria, Va 22301"
WSP USA,Oscar J Gonzalez,(617) 417-1133,oscar.j.gonzalez@wsp.com,"1250 23rd St NW SUITE 300, Washington, DC 20037"
"Zimpatica, LLC",Walter Borges,(571) 335-8515,walter.borges@zimpatica.com,"2751 Prosperity Ave Suite 400, Fairfax, VA 22031"
